id,dept_id,dept_code,batch_year,year_of_study,section,section_name,intake,current_semester,room_assigned
sec-cse-2022-a,dept-cse,CSE,2022,4,A,CSE 4-A (2022),60,7,
sec-cse-2022-b,dept-cse,CSE,2022,4,B,CSE 4-B (2022),60,7,
sec-cse-2023-a,dept-cse,CSE,2023,3,A,CSE 3-A (2023),60,5,
sec-cse-2023-b,dept-cse,CSE,2023,3,B,CSE 3-B (2023),60,5,
sec-cse-2024-a,dept-cse,CSE,2024,2,A,CSE 2-A (2024),60,3,
sec-cse-2024-b,dept-cse,CSE,2024,2,B,CSE 2-B (2024),60,3,
sec-cse-2025-a,dept-cse,CSE,2025,1,A,CSE 1-A (2025),60,1,
sec-cse-2025-b,dept-cse,CSE,2025,1,B,CSE 1-B (2025),60,1,
sec-it-2022-a,dept-it,IT,2022,4,A,IT 4-A (2022),60,7,
sec-it-2022-b,dept-it,IT,2022,4,B,IT 4-B (2022),60,7,
sec-it-2023-a,dept-it,IT,2023,3,A,IT 3-A (2023),60,5,
sec-it-2023-b,dept-it,IT,2023,3,B,IT 3-B (2023),60,5,
sec-it-2024-a,dept-it,IT,2024,2,A,IT 2-A (2024),60,3,
sec-it-2024-b,dept-it,IT,2024,2,B,IT 2-B (2024),60,3,
sec-it-2025-a,dept-it,IT,2025,1,A,IT 1-A (2025),60,1,
sec-it-2025-b,dept-it,IT,2025,1,B,IT 1-B (2025),60,1,
sec-csm-2022-a,dept-csm,CSM,2022,4,A,CSM 4-A (2022),60,7,
sec-csm-2022-b,dept-csm,CSM,2022,4,B,CSM 4-B (2022),60,7,
sec-csm-2023-a,dept-csm,CSM,2023,3,A,CSM 3-A (2023),60,5,
sec-csm-2023-b,dept-csm,CSM,2023,3,B,CSM 3-B (2023),60,5,
sec-csm-2024-a,dept-csm,CSM,2024,2,A,CSM 2-A (2024),60,3,
sec-csm-2024-b,dept-csm,CSM,2024,2,B,CSM 2-B (2024),60,3,
sec-csm-2025-a,dept-csm,CSM,2025,1,A,CSM 1-A (2025),60,1,
sec-csm-2025-b,dept-csm,CSM,2025,1,B,CSM 1-B (2025),60,1,
sec-csd-2022-a,dept-csd,CSD,2022,4,A,CSD 4-A (2022),60,7,
sec-csd-2023-a,dept-csd,CSD,2023,3,A,CSD 3-A (2023),60,5,
sec-csd-2024-a,dept-csd,CSD,2024,2,A,CSD 2-A (2024),60,3,
sec-csd-2025-a,dept-csd,CSD,2025,1,A,CSD 1-A (2025),60,1,
sec-cso-2022-a,dept-cso,CSO,2022,4,A,CSO 4-A (2022),60,7,
sec-cso-2023-a,dept-cso,CSO,2023,3,A,CSO 3-A (2023),60,5,
sec-cso-2024-a,dept-cso,CSO,2024,2,A,CSO 2-A (2024),60,3,
sec-cso-2025-a,dept-cso,CSO,2025,1,A,CSO 1-A (2025),60,1,
sec-aiml-2022-a,dept-aiml,AIML,2022,4,A,AIML 4-A (2022),60,7,
sec-aiml-2022-b,dept-aiml,AIML,2022,4,B,AIML 4-B (2022),60,7,
sec-aiml-2023-a,dept-aiml,AIML,2023,3,A,AIML 3-A (2023),60,5,
sec-aiml-2023-b,dept-aiml,AIML,2023,3,B,AIML 3-B (2023),60,5,
sec-aiml-2024-a,dept-aiml,AIML,2024,2,A,AIML 2-A (2024),60,3,
sec-aiml-2024-b,dept-aiml,AIML,2024,2,B,AIML 2-B (2024),60,3,
sec-aiml-2025-a,dept-aiml,AIML,2025,1,A,AIML 1-A (2025),60,1,
sec-aiml-2025-b,dept-aiml,AIML,2025,1,B,AIML 1-B (2025),60,1,
sec-iot-2022-a,dept-iot,IoT,2022,4,A,IoT 4-A (2022),60,7,
sec-iot-2023-a,dept-iot,IoT,2023,3,A,IoT 3-A (2023),60,5,
sec-iot-2024-a,dept-iot,IoT,2024,2,A,IoT 2-A (2024),60,3,
sec-iot-2025-a,dept-iot,IoT,2025,1,A,IoT 1-A (2025),60,1,
sec-ece-2022-a,dept-ece,ECE,2022,4,A,ECE 4-A (2022),60,7,
sec-ece-2022-b,dept-ece,ECE,2022,4,B,ECE 4-B (2022),60,7,
sec-ece-2023-a,dept-ece,ECE,2023,3,A,ECE 3-A (2023),60,5,
sec-ece-2023-b,dept-ece,ECE,2023,3,B,ECE 3-B (2023),60,5,
sec-ece-2024-a,dept-ece,ECE,2024,2,A,ECE 2-A (2024),60,3,
sec-ece-2024-b,dept-ece,ECE,2024,2,B,ECE 2-B (2024),60,3,
sec-ece-2025-a,dept-ece,ECE,2025,1,A,ECE 1-A (2025),60,1,
sec-ece-2025-b,dept-ece,ECE,2025,1,B,ECE 1-B (2025),60,1,
sec-eee-2022-a,dept-eee,EEE,2022,4,A,EEE 4-A (2022),60,7,
sec-eee-2023-a,dept-eee,EEE,2023,3,A,EEE 3-A (2023),60,5,
sec-eee-2024-a,dept-eee,EEE,2024,2,A,EEE 2-A (2024),60,3,
sec-eee-2025-a,dept-eee,EEE,2025,1,A,EEE 1-A (2025),60,1,
sec-mech-2022-a,dept-mech,MECH,2022,4,A,MECH 4-A (2022),60,7,
sec-mech-2022-b,dept-mech,MECH,2022,4,B,MECH 4-B (2022),60,7,
sec-mech-2023-a,dept-mech,MECH,2023,3,A,MECH 3-A (2023),60,5,
sec-mech-2023-b,dept-mech,MECH,2023,3,B,MECH 3-B (2023),60,5,
sec-mech-2024-a,dept-mech,MECH,2024,2,A,MECH 2-A (2024),60,3,
sec-mech-2024-b,dept-mech,MECH,2024,2,B,MECH 2-B (2024),60,3,
sec-mech-2025-a,dept-mech,MECH,2025,1,A,MECH 1-A (2025),60,1,
sec-mech-2025-b,dept-mech,MECH,2025,1,B,MECH 1-B (2025),60,1,
sec-civil-2022-a,dept-civil,CIVIL,2022,4,A,CIVIL 4-A (2022),60,7,
sec-civil-2023-a,dept-civil,CIVIL,2023,3,A,CIVIL 3-A (2023),60,5,
sec-civil-2024-a,dept-civil,CIVIL,2024,2,A,CIVIL 2-A (2024),60,3,
sec-civil-2025-a,dept-civil,CIVIL,2025,1,A,CIVIL 1-A (2025),60,1,
