id,building_id,floor,room_number,room_type,dept_code,capacity,has_ac,has_projector,description,is_active
rm-a-g-01,bldg-a,0,A-G-01,classroom,CSE,65,False,True,CSE Year 1 Section A,True
rm-a-g-02,bldg-a,0,A-G-02,classroom,CSE,65,False,True,CSE Year 1 Section B,True
rm-a-g-03,bldg-a,0,A-G-03,classroom,CSE,65,False,True,CSE Year 2 Section A,True
rm-a-g-04,bldg-a,0,A-G-04,classroom,CSE,65,False,True,CSE Year 2 Section B,True
rm-a-1-01,bldg-a,1,A-1-01,classroom,CSE,65,False,True,CSE Year 3 Section A,True
rm-a-1-02,bldg-a,1,A-1-02,classroom,CSE,65,False,True,CSE Year 3 Section B,True
rm-a-1-03,bldg-a,1,A-1-03,classroom,CSE,65,False,True,CSE Year 4 Section A,True
rm-a-1-04,bldg-a,1,A-1-04,classroom,CSE,65,False,True,CSE Year 4 Section B,True
rm-a-1-hod,bldg-a,1,A-1-HOD,hod_room,CSE,10,True,False,CSE HOD Office,True
rm-a-1-sr,bldg-a,1,A-1-SR,staff_room,CSE,30,True,False,CSE Faculty Staff Room,True
rm-a-2-lab1,bldg-a,2,A-2-L01,lab,CSE,60,True,True,"Programming Lab 1 (C, Python)",True
rm-a-2-lab2,bldg-a,2,A-2-L02,lab,CSE,60,True,True,"Programming Lab 2 (Java, Web)",True
rm-a-2-lab3,bldg-a,2,A-2-L03,lab,CSE,60,True,True,Data Structures & Algorithms Lab,True
rm-a-2-lab4,bldg-a,2,A-2-L04,lab,CSE,60,True,True,Networks & OS Lab,True
rm-a-3-01,bldg-a,3,A-3-01,classroom,ET,65,False,True,IT Year 1 Section A,True
rm-a-3-02,bldg-a,3,A-3-02,classroom,ET,65,False,True,IT Year 1 Section B,True
rm-a-3-03,bldg-a,3,A-3-03,classroom,ET,65,False,True,CSM Year 1 Section A,True
rm-a-3-04,bldg-a,3,A-3-04,classroom,ET,65,False,True,CSM Year 1 Section B,True
rm-a-3-05,bldg-a,3,A-3-05,classroom,ET,65,False,True,IT Year 2 Section A,True
rm-a-3-06,bldg-a,3,A-3-06,classroom,ET,65,False,True,IT Year 2 Section B,True
rm-a-3-hod,bldg-a,3,A-3-HOD,hod_room,ET,10,True,False,ET HOD Office,True
rm-a-3-sr,bldg-a,3,A-3-SR,staff_room,ET,40,True,False,ET Faculty Staff Room,True
rm-ea-001,bldg-a,1,EA-001,classroom,ET,65,False,True,CSM Year 2 Section A,True
rm-ea-002,bldg-a,1,EA-002,classroom,ET,65,False,True,CSM Year 2 Section B,True
rm-ea-003,bldg-a,1,EA-003,classroom,ET,65,False,True,CSD Year 1 Section A,True
rm-ea-004,bldg-a,1,EA-004,classroom,ET,65,False,True,CSO Year 1 Section A,True
rm-ea-005,bldg-a,1,EA-005,classroom,ET,65,False,True,AIML Year 1 Section A,True
rm-ea-006,bldg-a,1,EA-006,classroom,ET,65,False,True,AIML Year 1 Section B,True
rm-ea-007,bldg-a,1,EA-007,classroom,ET,65,False,True,IoT Year 1 Section A,True
rm-ea-008,bldg-a,1,EA-008,classroom,ET,65,False,True,IT Year 3 Section A,True
rm-ea-009,bldg-a,2,EA-009,classroom,ET,65,False,True,IT Year 3 Section B,True
rm-ea-010,bldg-a,2,EA-010,classroom,ET,65,False,True,CSM Year 3 Section A,True
rm-ea-011,bldg-a,2,EA-011,classroom,ET,65,False,True,CSM Year 3 Section B,True
rm-ea-012,bldg-a,2,EA-012,classroom,ET,65,False,True,CSD Year 2 Section A,True
rm-ea-013,bldg-a,2,EA-013,classroom,ET,65,False,True,CSO Year 2 Section A,True
rm-ea-014,bldg-a,2,EA-014,classroom,ET,65,False,True,AIML Year 2 Section A,True
rm-ea-015,bldg-a,2,EA-015,classroom,ET,65,False,True,AIML Year 2 Section B,True
rm-ea-016,bldg-a,2,EA-016,classroom,ET,65,False,True,IoT Year 2 Section A,True
rm-ea-017,bldg-a,3,EA-017,classroom,ET,65,False,True,IT Year 4 Section A,True
rm-ea-018,bldg-a,3,EA-018,classroom,ET,65,False,True,IT Year 4 Section B,True
rm-ea-019,bldg-a,3,EA-019,classroom,ET,65,False,True,CSM Year 4 Section A,True
rm-ea-020,bldg-a,3,EA-020,classroom,ET,65,False,True,CSM Year 4 Section B,True
rm-ea-021,bldg-a,3,EA-021,classroom,ET,65,False,True,CSD Year 3 Section A,True
rm-ea-022,bldg-a,3,EA-022,classroom,ET,65,False,True,CSO Year 3 Section A,True
rm-ea-023,bldg-a,3,EA-023,classroom,ET,65,False,True,AIML Year 3 Section A,True
