id,hostel_block_id,gender,floor,room_number,room_type,has_ac,capacity,current_occupancy,is_active
hrm-0001,hblk-boys-a,Male,1,BA-F1R01,double,False,2,0,True
hrm-0002,hblk-boys-a,Male,1,BA-F1R02,double,False,2,0,True
hrm-0003,hblk-boys-a,Male,1,BA-F1R03,double,False,2,0,True
hrm-0004,hblk-boys-a,Male,1,BA-F1R04,double,False,2,0,True
hrm-0005,hblk-boys-a,Male,1,BA-F1R05,double,False,2,0,True
hrm-0006,hblk-boys-a,Male,1,BA-F1R06,double,False,2,0,True
hrm-0007,hblk-boys-a,Male,1,BA-F1R07,double,False,2,0,True
hrm-0008,hblk-boys-a,Male,1,BA-F1R08,double,False,2,0,True
hrm-0009,hblk-boys-a,Male,1,BA-F1R09,double,False,2,0,True
hrm-0010,hblk-boys-a,Male,1,BA-F1R10,double,False,2,0,True
hrm-0011,hblk-boys-a,Male,1,BA-F1R11,double,False,2,0,True
hrm-0012,hblk-boys-a,Male,1,BA-F1R12,double,False,2,0,True
hrm-0013,hblk-boys-a,Male,1,BA-F1R01,triple,False,3,0,True
hrm-0014,hblk-boys-a,Male,1,BA-F1R02,triple,False,3,0,True
hrm-0015,hblk-boys-a,Male,1,BA-F1R03,triple,False,3,0,True
hrm-0016,hblk-boys-a,Male,1,BA-F1R04,triple,False,3,0,True
hrm-0017,hblk-boys-a,Male,1,BA-F1R05,triple,False,3,0,True
hrm-0018,hblk-boys-a,Male,1,BA-F1R06,triple,False,3,0,True
hrm-0019,hblk-boys-a,Male,1,BA-F1R07,triple,False,3,0,True
hrm-0020,hblk-boys-a,Male,1,BA-F1R08,triple,False,3,0,True
hrm-0021,hblk-boys-a,Male,1,BA-F1R09,triple,False,3,0,True
hrm-0022,hblk-boys-a,Male,1,BA-F1R10,triple,False,3,0,True
hrm-0023,hblk-boys-a,Male,1,BA-F1R01,quadruple,False,4,0,True
hrm-0024,hblk-boys-a,Male,1,BA-F1R02,quadruple,False,4,0,True
hrm-0025,hblk-boys-a,Male,1,BA-F1R03,quadruple,False,4,0,True
hrm-0026,hblk-boys-a,Male,1,BA-F1R04,quadruple,False,4,0,True
hrm-0027,hblk-boys-a,Male,1,BA-F1R05,quadruple,False,4,0,True
hrm-0028,hblk-boys-a,Male,1,BA-F1R06,quadruple,False,4,0,True
hrm-0029,hblk-boys-a,Male,2,BA-F2R01,double,False,2,0,True
hrm-0030,hblk-boys-a,Male,2,BA-F2R02,double,False,2,0,True
hrm-0031,hblk-boys-a,Male,2,BA-F2R03,double,False,2,0,True
