id,college_id,department_id,semester,name,credits,type,subject_code,regulation_year,hours_per_week,course_category,lecture_hrs,tutorial_hrs,practical_hrs,is_mooc,mooc_platform,mooc_credit_equiv
subj-0001,aits-hyd-001,dept-cse,1,Linear Algebra & Calculus,4,Theory,22MA1101,R22,4,core,3,1,0,False,,
subj-0002,aits-hyd-001,dept-cse,1,Applied Physics,4,Theory,22PH1101,R22,3,core,3,0,0,False,,
subj-0003,aits-hyd-001,dept-cse,1,Programming for Problem Solving (C),3,Theory,22CS1101,R22,3,core,3,0,0,False,,
subj-0004,aits-hyd-001,dept-cse,1,Programming for Problem Solving Lab,1,Lab,22CS1102,R22,3,core,0,0,3,False,,
subj-0005,aits-hyd-001,dept-cse,1,English - I,2,Theory,22EN1101,R22,2,aec,2,0,0,False,,
subj-0006,aits-hyd-001,dept-cse,1,Engineering Drawing,2,Lab,22ME1101,R22,3,core,1,0,2,False,,
subj-0007,aits-hyd-001,dept-cse,1,Applied Physics Lab,1,Lab,22PH1102,R22,2,core,0,0,2,False,,
subj-0008,aits-hyd-001,dept-cse,2,"Probability, Statistics & Numerical Methods",4,Theory,22MA1201,R22,4,core,3,1,0,False,,
subj-0009,aits-hyd-001,dept-cse,2,Engineering Chemistry,4,Theory,22CH1201,R22,3,core,3,0,0,False,,
subj-0010,aits-hyd-001,dept-cse,2,Basic Electrical Engineering,3,Theory,22EE1201,R22,3,core,3,0,0,False,,
subj-0011,aits-hyd-001,dept-cse,2,Basic Electrical Engineering Lab,1,Lab,22EE1202,R22,2,core,0,0,2,False,,
subj-0012,aits-hyd-001,dept-cse,2,English - II,2,Theory,22EN1201,R22,2,aec,2,0,0,False,,
subj-0013,aits-hyd-001,dept-cse,2,Data Structures,3,Theory,22CS1201,R22,3,core,3,0,0,False,,
subj-0014,aits-hyd-001,dept-cse,2,Data Structures Lab,1,Lab,22CS1202,R22,3,core,0,0,3,False,,
subj-0015,aits-hyd-001,dept-cse,2,Engineering Chemistry Lab,1,Lab,22CH1202,R22,2,core,0,0,2,False,,
subj-0016,aits-hyd-001,dept-cse,3,Discrete Mathematics,3,Theory,22CS3101,R22,3,core,3,0,0,False,,
subj-0017,aits-hyd-001,dept-cse,3,Object-Oriented Programming (Java),3,Theory,22CS3102,R22,3,core,3,0,0,False,,
subj-0018,aits-hyd-001,dept-cse,3,Digital Logic Design,3,Theory,22CS3103,R22,3,core,3,0,0,False,,
subj-0019,aits-hyd-001,dept-cse,3,Computer Organization,3,Theory,22CS3104,R22,3,core,3,0,0,False,,
subj-0020,aits-hyd-001,dept-cse,3,OOP Lab,2,Lab,22CS3105,R22,3,core,0,0,3,False,,
subj-0021,aits-hyd-001,dept-cse,3,Digital Logic Lab,1,Lab,22CS3106,R22,2,core,0,0,2,False,,
subj-0022,aits-hyd-001,dept-cse,3,Managerial Economics & Financial Analysis,3,Theory,22HS3101,R22,3,sec,3,0,0,False,,
subj-0023,aits-hyd-001,dept-cse,4,Operating Systems,3,Theory,22CS4101,R22,3,core,3,0,0,False,,
subj-0024,aits-hyd-001,dept-cse,4,Database Management Systems,3,Theory,22CS4102,R22,3,core,3,0,0,False,,
subj-0025,aits-hyd-001,dept-cse,4,Design & Analysis of Algorithms,3,Theory,22CS4103,R22,4,core,3,1,0,False,,
subj-0026,aits-hyd-001,dept-cse,4,Software Engineering,3,Theory,22CS4104,R22,3,core,3,0,0,False,,
subj-0027,aits-hyd-001,dept-cse,4,OS & DBMS Lab,2,Lab,22CS4105,R22,3,core,0,0,3,False,,
subj-0028,aits-hyd-001,dept-cse,4,Python Programming Lab,1,Lab,22CS4106,R22,2,core,0,0,2,False,,
subj-0029,aits-hyd-001,dept-cse,4,Environmental Science,2,Theory,22HS4101,R22,2,mdc,2,0,0,False,,
subj-0030,aits-hyd-001,dept-cse,5,Computer Networks,3,Theory,22CS5101,R22,3,core,3,0,0,False,,
subj-0031,aits-hyd-001,dept-cse,5,Compiler Design,3,Theory,22CS5102,R22,3,core,3,0,0,False,,
subj-0032,aits-hyd-001,dept-cse,5,Formal Languages & Automata Theory,3,Theory,22CS5103,R22,4,core,3,1,0,False,,
subj-0033,aits-hyd-001,dept-cse,5,Web Technologies,3,Theory,22CS5104,R22,4,core,2,0,2,False,,
subj-0034,aits-hyd-001,dept-cse,5,Computer Networks Lab,2,Lab,22CS5105,R22,3,core,0,0,3,False,,
subj-0035,aits-hyd-001,dept-cse,5,Professional Elective - I,3,Theory,22CS5106,R22,3,elective,3,0,0,False,,
subj-0036,aits-hyd-001,dept-cse,5,Constitution of India,0,Theory,22MC5101,R22,2,mdc,2,0,0,False,,
subj-0037,aits-hyd-001,dept-cse,6,Artificial Intelligence,3,Theory,22CS6101,R22,3,core,3,0,0,False,,
subj-0038,aits-hyd-001,dept-cse,6,Cryptography & Network Security,3,Theory,22CS6102,R22,3,core,3,0,0,False,,
subj-0039,aits-hyd-001,dept-cse,6,Machine Learning,3,Theory,22CS6103,R22,3,core,3,0,0,False,,
subj-0040,aits-hyd-001,dept-cse,6,Cloud Computing,3,Theory,22CS6104,R22,3,core,3,0,0,False,,
subj-0041,aits-hyd-001,dept-cse,6,AI & ML Lab,2,Lab,22CS6105,R22,3,core,0,0,3,False,,
subj-0042,aits-hyd-001,dept-cse,6,Professional Elective - II,3,Theory,22CS6106,R22,3,elective,3,0,0,False,,
subj-0043,aits-hyd-001,dept-cse,6,Open Elective - I,3,Theory,22CS6107,R22,3,open_elective,3,0,0,False,,
subj-0044,aits-hyd-001,dept-cse,7,Big Data Analytics,3,Theory,22CS7101,R22,3,core,3,0,0,False,,
subj-0045,aits-hyd-001,dept-cse,7,Internet of Things,3,Theory,22CS7102,R22,3,core,3,0,0,False,,
subj-0046,aits-hyd-001,dept-cse,7,Professional Elective - III,3,Theory,22CS7103,R22,3,elective,3,0,0,False,,
subj-0047,aits-hyd-001,dept-cse,7,Open Elective - II,3,Theory,22CS7104,R22,3,open_elective,3,0,0,False,,
subj-0048,aits-hyd-001,dept-cse,7,Project - I,2,Lab,22CS7105,R22,4,core,0,0,4,False,,
subj-0049,aits-hyd-001,dept-cse,7,Seminar,2,Lab,22CS7106,R22,2,core,0,0,2,False,,
subj-0050,aits-hyd-001,dept-cse,8,Professional Elective - IV,3,Theory,22CS8101,R22,3,elective,3,0,0,False,,
subj-0051,aits-hyd-001,dept-cse,8,Project - II,8,Lab,22CS8102,R22,16,core,0,0,16,False,,
subj-0052,aits-hyd-001,dept-cse,8,Comprehensive Viva,2,Lab,22CS8103,R22,0,core,0,0,0,False,,
subj-0053,aits-hyd-001,dept-it,1,Linear Algebra & Calculus,4,Theory,22MA1101,R22,4,core,3,1,0,False,,
subj-0054,aits-hyd-001,dept-it,1,Applied Physics,4,Theory,22PH1101,R22,3,core,3,0,0,False,,
subj-0055,aits-hyd-001,dept-it,1,Programming for Problem Solving (C),3,Theory,22CS1101,R22,3,core,3,0,0,False,,
subj-0056,aits-hyd-001,dept-it,1,Programming for Problem Solving Lab,1,Lab,22CS1102,R22,3,core,0,0,3,False,,
subj-0057,aits-hyd-001,dept-it,1,English - I,2,Theory,22EN1101,R22,2,aec,2,0,0,False,,
subj-0058,aits-hyd-001,dept-it,1,Engineering Drawing,2,Lab,22ME1101,R22,3,core,1,0,2,False,,
subj-0059,aits-hyd-001,dept-it,1,Applied Physics Lab,1,Lab,22PH1102,R22,2,core,0,0,2,False,,
subj-0060,aits-hyd-001,dept-it,2,"Probability, Statistics & Numerical Methods",4,Theory,22MA1201,R22,4,core,3,1,0,False,,
subj-0061,aits-hyd-001,dept-it,2,Engineering Chemistry,4,Theory,22CH1201,R22,3,core,3,0,0,False,,
subj-0062,aits-hyd-001,dept-it,2,Basic Electrical Engineering,3,Theory,22EE1201,R22,3,core,3,0,0,False,,
subj-0063,aits-hyd-001,dept-it,2,Basic Electrical Engineering Lab,1,Lab,22EE1202,R22,2,core,0,0,2,False,,
subj-0064,aits-hyd-001,dept-it,2,English - II,2,Theory,22EN1201,R22,2,aec,2,0,0,False,,
subj-0065,aits-hyd-001,dept-it,2,Data Structures,3,Theory,22CS1201,R22,3,core,3,0,0,False,,
subj-0066,aits-hyd-001,dept-it,2,Data Structures Lab,1,Lab,22CS1202,R22,3,core,0,0,3,False,,
subj-0067,aits-hyd-001,dept-it,2,Engineering Chemistry Lab,1,Lab,22CH1202,R22,2,core,0,0,2,False,,
subj-0068,aits-hyd-001,dept-it,3,Discrete Mathematics,3,Theory,22IT3101,R22,3,core,3,0,0,False,,
subj-0069,aits-hyd-001,dept-it,3,Object-Oriented Programming (Java),3,Theory,22IT3102,R22,3,core,3,0,0,False,,
subj-0070,aits-hyd-001,dept-it,3,Digital Logic Design,3,Theory,22IT3103,R22,3,core,3,0,0,False,,
