id,course_id,code,description,bloom_level
co-00001,subj-0001,22MA1101.CO1,Recall linear algebra & calculus concepts and techniques,Remember
co-00002,subj-0001,22MA1101.CO2,List linear algebra & calculus concepts and techniques,Remember
co-00003,subj-0001,22MA1101.CO3,Use linear algebra & calculus concepts and techniques,Apply
co-00004,subj-0001,22MA1101.CO4,Identify linear algebra & calculus concepts and techniques,Remember
co-00005,subj-0001,22MA1101.CO5,Define linear algebra & calculus concepts and techniques,Remember
co-00006,subj-0002,22PH1101.CO1,Classify applied physics concepts and techniques,Understand
co-00007,subj-0002,22PH1101.CO2,Recall applied physics concepts and techniques,Remember
co-00008,subj-0002,22PH1101.CO3,Analyze applied physics concepts and techniques,Analyze
co-00009,subj-0002,22PH1101.CO4,Define applied physics concepts and techniques,Remember
co-00010,subj-0002,22PH1101.CO5,Examine applied physics concepts and techniques,Analyze
co-00011,subj-0002,22PH1101.CO6,Describe applied physics concepts and techniques,Understand
co-00012,subj-0003,22CS1101.CO1,Identify programming for problem solving (c) concepts and techniques,Remember
co-00013,subj-0003,22CS1101.CO2,Distinguish programming for problem solving (c) concepts and techniques,Analyze
co-00014,subj-0003,22CS1101.CO3,Implement programming for problem solving (c) concepts and techniques,Apply
co-00015,subj-0003,22CS1101.CO4,Use programming for problem solving (c) concepts and techniques,Apply
co-00016,subj-0003,22CS1101.CO5,State programming for problem solving (c) concepts and techniques,Remember
co-00017,subj-0004,22CS1102.CO1,State programming for problem solving lab concepts and techniques,Remember
co-00018,subj-0004,22CS1102.CO2,Analyze programming for problem solving lab concepts and techniques,Analyze
co-00019,subj-0004,22CS1102.CO3,Assess programming for problem solving lab concepts and techniques,Evaluate
co-00020,subj-0004,22CS1102.CO4,Identify programming for problem solving lab concepts and techniques,Remember
co-00021,subj-0005,22EN1101.CO1,Explain english - i concepts and techniques,Understand
co-00022,subj-0005,22EN1101.CO2,State english - i concepts and techniques,Remember
co-00023,subj-0005,22EN1101.CO3,Design english - i concepts and techniques,Create
co-00024,subj-0005,22EN1101.CO4,List english - i concepts and techniques,Remember
co-00025,subj-0005,22EN1101.CO5,Describe english - i concepts and techniques,Understand
co-00026,subj-0005,22EN1101.CO6,Evaluate english - i concepts and techniques,Evaluate
co-00027,subj-0006,22ME1101.CO1,Solve engineering drawing concepts and techniques,Apply
co-00028,subj-0006,22ME1101.CO2,Demonstrate engineering drawing concepts and techniques,Apply
co-00029,subj-0006,22ME1101.CO3,Compare engineering drawing concepts and techniques,Analyze
co-00030,subj-0006,22ME1101.CO4,Explain engineering drawing concepts and techniques,Understand
co-00031,subj-0007,22PH1102.CO1,Solve applied physics lab concepts and techniques,Apply
co-00032,subj-0007,22PH1102.CO2,Summarize applied physics lab concepts and techniques,Understand
co-00033,subj-0007,22PH1102.CO3,Implement applied physics lab concepts and techniques,Apply
co-00034,subj-0007,22PH1102.CO4,Interpret applied physics lab concepts and techniques,Understand
co-00035,subj-0007,22PH1102.CO5,Implement applied physics lab concepts and techniques,Apply
co-00036,subj-0008,22MA1201.CO1,"Solve probability, statistics & numerical methods concepts and techniques",Apply
co-00037,subj-0008,22MA1201.CO2,"Summarize probability, statistics & numerical methods concepts and techniques",Understand
co-00038,subj-0008,22MA1201.CO3,"Recall probability, statistics & numerical methods concepts and techniques",Remember
co-00039,subj-0008,22MA1201.CO4,"Classify probability, statistics & numerical methods concepts and techniques",Understand
co-00040,subj-0008,22MA1201.CO5,"List probability, statistics & numerical methods concepts and techniques",Remember
co-00041,subj-0008,22MA1201.CO6,"List probability, statistics & numerical methods concepts and techniques",Remember
co-00042,subj-0009,22CH1201.CO1,Implement engineering chemistry concepts and techniques,Apply
co-00043,subj-0009,22CH1201.CO2,Define engineering chemistry concepts and techniques,Remember
co-00044,subj-0009,22CH1201.CO3,Implement engineering chemistry concepts and techniques,Apply
