id,co_id,po_id,strength,rationale,is_active
copo-000001,co-00001,po-04,3,,True
copo-000002,co-00001,po-09,2,,True
copo-000003,co-00001,po-10,3,,True
copo-000004,co-00001,po-01,3,,True
copo-000005,co-00002,po-04,2,,True
copo-000006,co-00002,po-08,3,,True
copo-000007,co-00002,po-10,3,,True
copo-000008,co-00002,po-05,2,,True
copo-000009,co-00002,po-01,2,,True
copo-000010,co-00002,po-07,2,,True
copo-000011,co-00003,po-06,1,,True
copo-000012,co-00003,po-02,2,,True
copo-000013,co-00003,po-11,2,,True
copo-000014,co-00003,po-07,3,,True
copo-000015,co-00004,po-01,1,,True
copo-000016,co-00004,po-08,3,,True
copo-000017,co-00004,po-09,2,,True
copo-000018,co-00004,po-02,3,,True
copo-000019,co-00004,po-07,3,,True
copo-000020,co-00005,po-10,2,,True
copo-000021,co-00005,po-04,1,,True
copo-000022,co-00005,po-02,2,,True
copo-000023,co-00005,po-01,1,,True
copo-000024,co-00005,po-11,3,,True
copo-000025,co-00006,po-04,2,,True
copo-000026,co-00006,po-11,2,,True
copo-000027,co-00006,po-08,2,,True
copo-000028,co-00006,po-07,2,,True
copo-000029,co-00006,po-10,3,,True
copo-000030,co-00007,po-12,2,,True
copo-000031,co-00007,po-10,2,,True
copo-000032,co-00007,po-07,3,,True
copo-000033,co-00007,po-11,3,,True
copo-000034,co-00007,po-06,1,,True
copo-000035,co-00008,po-02,3,,True
copo-000036,co-00008,po-03,3,,True
copo-000037,co-00008,po-11,3,,True
copo-000038,co-00009,po-07,3,,True
copo-000039,co-00009,po-12,3,,True
copo-000040,co-00009,po-10,2,,True
copo-000041,co-00010,po-11,2,,True
copo-000042,co-00010,po-02,3,,True
copo-000043,co-00010,po-09,2,,True
copo-000044,co-00011,po-05,3,,True
copo-000045,co-00011,po-07,1,,True
copo-000046,co-00011,po-03,3,,True
copo-000047,co-00012,po-04,3,,True
copo-000048,co-00012,po-09,2,,True
copo-000049,co-00012,po-12,3,,True
copo-000050,co-00012,po-05,3,,True
copo-000051,co-00012,po-07,3,,True
copo-000052,co-00012,po-06,1,,True
copo-000053,co-00013,po-04,3,,True
copo-000054,co-00013,po-02,3,,True
copo-000055,co-00013,po-06,2,,True
copo-000056,co-00013,po-01,3,,True
copo-000057,co-00014,po-01,1,,True
copo-000058,co-00014,po-02,1,,True
copo-000059,co-00014,po-12,2,,True
copo-000060,co-00014,po-04,1,,True
copo-000061,co-00015,po-05,3,,True
copo-000062,co-00015,po-11,2,,True
copo-000063,co-00015,po-08,3,,True
copo-000064,co-00015,po-04,3,,True
copo-000065,co-00016,po-04,3,,True
copo-000066,co-00016,po-08,3,,True
copo-000067,co-00016,po-07,2,,True
copo-000068,co-00016,po-12,3,,True
copo-000069,co-00016,po-02,3,,True
copo-000070,co-00016,po-01,3,,True
copo-000071,co-00017,po-04,3,,True
copo-000072,co-00017,po-07,2,,True
copo-000073,co-00017,po-01,3,,True
copo-000074,co-00017,po-03,2,,True
copo-000075,co-00017,po-11,3,,True
copo-000076,co-00017,po-10,3,,True
copo-000077,co-00018,po-03,3,,True
copo-000078,co-00018,po-04,3,,True
copo-000079,co-00018,po-05,1,,True
copo-000080,co-00018,po-11,3,,True
copo-000081,co-00018,po-01,2,,True
copo-000082,co-00018,po-10,1,,True
copo-000083,co-00019,po-10,3,,True
copo-000084,co-00019,po-08,2,,True
copo-000085,co-00019,po-09,1,,True
copo-000086,co-00020,po-03,1,,True
copo-000087,co-00020,po-02,3,,True
copo-000088,co-00020,po-10,2,,True
copo-000089,co-00021,po-06,3,,True
copo-000090,co-00021,po-05,3,,True
copo-000091,co-00021,po-03,2,,True
copo-000092,co-00021,po-08,3,,True
copo-000093,co-00022,po-11,3,,True
copo-000094,co-00022,po-09,1,,True
copo-000095,co-00022,po-05,2,,True
copo-000096,co-00023,po-02,2,,True
copo-000097,co-00023,po-12,3,,True
copo-000098,co-00023,po-09,2,,True
copo-000099,co-00023,po-03,3,,True
copo-000100,co-00023,po-05,2,,True
copo-000101,co-00024,po-11,3,,True
copo-000102,co-00024,po-12,2,,True
copo-000103,co-00024,po-05,1,,True
copo-000104,co-00024,po-09,1,,True
copo-000105,co-00025,po-05,2,,True
copo-000106,co-00025,po-01,2,,True
copo-000107,co-00025,po-11,3,,True
copo-000108,co-00025,po-06,3,,True
copo-000109,co-00025,po-03,3,,True
copo-000110,co-00025,po-09,3,,True
copo-000111,co-00026,po-09,1,,True
copo-000112,co-00026,po-01,2,,True
copo-000113,co-00026,po-02,3,,True
copo-000114,co-00026,po-10,3,,True
copo-000115,co-00026,po-03,2,,True
copo-000116,co-00026,po-05,3,,True
copo-000117,co-00027,po-01,2,,True
copo-000118,co-00027,po-08,2,,True
copo-000119,co-00027,po-04,2,,True
copo-000120,co-00027,po-10,1,,True
copo-000121,co-00027,po-11,3,,True
copo-000122,co-00027,po-03,2,,True
copo-000123,co-00028,po-06,3,,True
copo-000124,co-00028,po-05,3,,True
copo-000125,co-00028,po-02,3,,True
copo-000126,co-00028,po-11,3,,True
copo-000127,co-00028,po-12,2,,True
copo-000128,co-00028,po-08,1,,True
copo-000129,co-00029,po-05,2,,True
copo-000130,co-00029,po-03,1,,True
copo-000131,co-00029,po-10,1,,True
copo-000132,co-00030,po-06,3,,True
copo-000133,co-00030,po-12,2,,True
copo-000134,co-00030,po-07,2,,True
