id,college_id,co_id,pso_id,co_code,pso_code,strength
copso-000001,aits-hyd-001,co-00001,pso-cse-02,22MA1101.CO1,02,2
copso-000002,aits-hyd-001,co-00001,pso-cse-03,22MA1101.CO1,03,2
copso-000003,aits-hyd-001,co-00002,pso-cse-01,22MA1101.CO2,01,3
copso-000004,aits-hyd-001,co-00002,pso-cse-02,22MA1101.CO2,02,3
copso-000005,aits-hyd-001,co-00003,pso-cse-03,22MA1101.CO3,03,3
copso-000006,aits-hyd-001,co-00004,pso-cse-03,22MA1101.CO4,03,3
copso-000007,aits-hyd-001,co-00005,pso-cse-01,22MA1101.CO5,01,3
copso-000008,aits-hyd-001,co-00006,pso-cse-03,22PH1101.CO1,03,3
copso-000009,aits-hyd-001,co-00006,pso-cse-01,22PH1101.CO1,01,1
copso-000010,aits-hyd-001,co-00007,pso-cse-03,22PH1101.CO2,03,2
copso-000011,aits-hyd-001,co-00007,pso-cse-01,22PH1101.CO2,01,2
copso-000012,aits-hyd-001,co-00008,pso-cse-03,22PH1101.CO3,03,3
copso-000013,aits-hyd-001,co-00009,pso-cse-03,22PH1101.CO4,03,2
copso-000014,aits-hyd-001,co-00010,pso-cse-01,22PH1101.CO5,01,2
copso-000015,aits-hyd-001,co-00010,pso-cse-03,22PH1101.CO5,03,2
copso-000016,aits-hyd-001,co-00011,pso-cse-01,22PH1101.CO6,01,2
copso-000017,aits-hyd-001,co-00012,pso-cse-03,22CS1101.CO1,03,3
copso-000018,aits-hyd-001,co-00013,pso-cse-01,22CS1101.CO2,01,3
copso-000019,aits-hyd-001,co-00014,pso-cse-01,22CS1101.CO3,01,2
copso-000020,aits-hyd-001,co-00014,pso-cse-03,22CS1101.CO3,03,2
copso-000021,aits-hyd-001,co-00015,pso-cse-01,22CS1101.CO4,01,2
copso-000022,aits-hyd-001,co-00015,pso-cse-02,22CS1101.CO4,02,2
copso-000023,aits-hyd-001,co-00016,pso-cse-01,22CS1101.CO5,01,3
copso-000024,aits-hyd-001,co-00016,pso-cse-03,22CS1101.CO5,03,3
copso-000025,aits-hyd-001,co-00017,pso-cse-01,22CS1102.CO1,01,3
copso-000026,aits-hyd-001,co-00017,pso-cse-03,22CS1102.CO1,03,3
copso-000027,aits-hyd-001,co-00018,pso-cse-03,22CS1102.CO2,03,1
copso-000028,aits-hyd-001,co-00019,pso-cse-03,22CS1102.CO3,03,2
copso-000029,aits-hyd-001,co-00019,pso-cse-02,22CS1102.CO3,02,2
copso-000030,aits-hyd-001,co-00020,pso-cse-01,22CS1102.CO4,01,3
copso-000031,aits-hyd-001,co-00020,pso-cse-02,22CS1102.CO4,02,2
copso-000032,aits-hyd-001,co-00021,pso-cse-01,22EN1101.CO1,01,2
copso-000033,aits-hyd-001,co-00022,pso-cse-01,22EN1101.CO2,01,2
copso-000034,aits-hyd-001,co-00022,pso-cse-02,22EN1101.CO2,02,3
copso-000035,aits-hyd-001,co-00023,pso-cse-03,22EN1101.CO3,03,1
copso-000036,aits-hyd-001,co-00024,pso-cse-03,22EN1101.CO4,03,3
copso-000037,aits-hyd-001,co-00024,pso-cse-02,22EN1101.CO4,02,3
copso-000038,aits-hyd-001,co-00025,pso-cse-01,22EN1101.CO5,01,2
copso-000039,aits-hyd-001,co-00026,pso-cse-02,22EN1101.CO6,02,1
copso-000040,aits-hyd-001,co-00027,pso-cse-03,22ME1101.CO1,03,3
copso-000041,aits-hyd-001,co-00028,pso-cse-02,22ME1101.CO2,02,3
copso-000042,aits-hyd-001,co-00029,pso-cse-03,22ME1101.CO3,03,2
copso-000043,aits-hyd-001,co-00030,pso-cse-03,22ME1101.CO4,03,3
copso-000044,aits-hyd-001,co-00030,pso-cse-01,22ME1101.CO4,01,2
copso-000045,aits-hyd-001,co-00031,pso-cse-01,22PH1102.CO1,01,1
copso-000046,aits-hyd-001,co-00031,pso-cse-03,22PH1102.CO1,03,3
copso-000047,aits-hyd-001,co-00032,pso-cse-02,22PH1102.CO2,02,3
copso-000048,aits-hyd-001,co-00033,pso-cse-02,22PH1102.CO3,02,3
copso-000049,aits-hyd-001,co-00033,pso-cse-03,22PH1102.CO3,03,3
copso-000050,aits-hyd-001,co-00034,pso-cse-03,22PH1102.CO4,03,3
copso-000051,aits-hyd-001,co-00035,pso-cse-02,22PH1102.CO5,02,3
copso-000052,aits-hyd-001,co-00035,pso-cse-01,22PH1102.CO5,01,2
copso-000053,aits-hyd-001,co-00036,pso-cse-02,22MA1201.CO1,02,2
copso-000054,aits-hyd-001,co-00036,pso-cse-03,22MA1201.CO1,03,3
copso-000055,aits-hyd-001,co-00037,pso-cse-02,22MA1201.CO2,02,2
copso-000056,aits-hyd-001,co-00037,pso-cse-03,22MA1201.CO2,03,3
copso-000057,aits-hyd-001,co-00038,pso-cse-01,22MA1201.CO3,01,1
copso-000058,aits-hyd-001,co-00038,pso-cse-02,22MA1201.CO3,02,3
