id,student_id,hostel_room_id,hostel_block_id,room_number,academic_year,admission_year,status
halloc-00001,STU-00768,hrm-0001,hblk-boys-a,BA-F1R01,2024-2028,2024,occupied
halloc-00002,STU-01551,hrm-0001,hblk-boys-a,BA-F1R01,2023-2027,2023,occupied
halloc-00003,STU-00014,hrm-0002,hblk-boys-a,BA-F1R02,2022-2026,2022,occupied
halloc-00004,STU-03087,hrm-0002,hblk-boys-a,BA-F1R02,2025-2029,2025,occupied
halloc-00005,STU-03067,hrm-0003,hblk-boys-a,BA-F1R03,2025-2029,2025,occupied
halloc-00006,STU-02911,hrm-0003,hblk-boys-a,BA-F1R03,2024-2028,2024,occupied
halloc-00007,STU-01462,hrm-0004,hblk-boys-a,BA-F1R04,2022-2026,2022,occupied
halloc-00008,STU-02177,hrm-0004,hblk-boys-a,BA-F1R04,2024-2028,2024,occupied
halloc-00009,STU-02458,hrm-0005,hblk-boys-a,BA-F1R05,2022-2026,2022,occupied
halloc-00010,STU-01649,hrm-0005,hblk-boys-a,BA-F1R05,2025-2029,2025,occupied
halloc-00011,STU-00599,hrm-0006,hblk-boys-a,BA-F1R06,2022-2026,2022,occupied
halloc-00012,STU-03292,hrm-0006,hblk-boys-a,BA-F1R06,2024-2028,2024,occupied
halloc-00013,STU-02842,hrm-0007,hblk-boys-a,BA-F1R07,2023-2027,2023,occupied
halloc-00014,STU-00588,hrm-0007,hblk-boys-a,BA-F1R07,2022-2026,2022,occupied
halloc-00015,STU-02892,hrm-0008,hblk-boys-a,BA-F1R08,2024-2028,2024,occupied
halloc-00016,STU-02483,hrm-0008,hblk-boys-a,BA-F1R08,2023-2027,2023,occupied
halloc-00017,STU-02033,hrm-0009,hblk-boys-a,BA-F1R09,2022-2026,2022,occupied
halloc-00018,STU-02335,hrm-0009,hblk-boys-a,BA-F1R09,2025-2029,2025,occupied
halloc-00019,STU-00989,hrm-0010,hblk-boys-a,BA-F1R10,2022-2026,2022,occupied
halloc-00020,STU-02666,hrm-0010,hblk-boys-a,BA-F1R10,2022-2026,2022,occupied
halloc-00021,STU-01046,hrm-0011,hblk-boys-a,BA-F1R11,2022-2026,2022,occupied
halloc-00022,STU-02307,hrm-0011,hblk-boys-a,BA-F1R11,2025-2029,2025,occupied
halloc-00023,STU-02549,hrm-0012,hblk-boys-a,BA-F1R12,2024-2028,2024,occupied
halloc-00024,STU-02809,hrm-0012,hblk-boys-a,BA-F1R12,2023-2027,2023,occupied
halloc-00025,STU-03181,hrm-0013,hblk-boys-a,BA-F1R01,2023-2027,2023,occupied
halloc-00026,STU-01995,hrm-0013,hblk-boys-a,BA-F1R01,2022-2026,2022,occupied
halloc-00027,STU-01905,hrm-0013,hblk-boys-a,BA-F1R01,2025-2029,2025,occupied
halloc-00028,STU-00798,hrm-0014,hblk-boys-a,BA-F1R02,2024-2028,2024,occupied
halloc-00029,STU-00774,hrm-0014,hblk-boys-a,BA-F1R02,2024-2028,2024,occupied
halloc-00030,STU-02435,hrm-0014,hblk-boys-a,BA-F1R02,2022-2026,2022,occupied
halloc-00031,STU-00951,hrm-0015,hblk-boys-a,BA-F1R03,2025-2029,2025,occupied
halloc-00032,STU-00266,hrm-0015,hblk-boys-a,BA-F1R03,2024-2028,2024,occupied
halloc-00033,STU-03160,hrm-0015,hblk-boys-a,BA-F1R03,2022-2026,2022,occupied
halloc-00034,STU-03076,hrm-0016,hblk-boys-a,BA-F1R04,2025-2029,2025,occupied
halloc-00035,STU-00690,hrm-0016,hblk-boys-a,BA-F1R04,2023-2027,2023,occupied
halloc-00036,STU-02453,hrm-0016,hblk-boys-a,BA-F1R04,2022-2026,2022,occupied
halloc-00037,STU-02795,hrm-0017,hblk-boys-a,BA-F1R05,2023-2027,2023,occupied
halloc-00038,STU-03144,hrm-0017,hblk-boys-a,BA-F1R05,2022-2026,2022,occupied
halloc-00039,STU-01955,hrm-0017,hblk-boys-a,BA-F1R05,2022-2026,2022,occupied
halloc-00040,STU-00378,hrm-0018,hblk-boys-a,BA-F1R06,2025-2029,2025,occupied
