id,college_id,student_id,scholarship_type,amount,semester,academic_year,disbursement_date,status,payment_mode,reference_number
sch-000001,college-aits-001,STU-00001,Merit,10000.0,1,2022-2023,2022-11-04,disbursed,NEFT,SCH877572
sch-000002,college-aits-001,STU-00001,Merit,10000.0,2,2022-2023,2023-04-08,disbursed,NEFT,SCH246316
sch-000003,college-aits-001,STU-00001,Merit,10000.0,3,2023-2024,2023-11-04,disbursed,Direct Benefit Transfer,SCH876646
sch-000004,college-aits-001,STU-00001,Merit,10000.0,4,2023-2024,2024-05-03,disbursed,Direct Benefit Transfer,SCH542417
sch-000005,college-aits-001,STU-00001,Merit,10000.0,5,2024-2025,2024-09-01,disbursed,NEFT,SCH329258
sch-000006,college-aits-001,STU-00001,Merit,10000.0,6,2024-2025,2025-03-17,disbursed,Direct Benefit Transfer,SCH127824
sch-000007,college-aits-001,STU-00001,Merit,10000.0,7,2025-2026,2025-11-07,disbursed,Direct Benefit Transfer,SCH671412
sch-000008,college-aits-001,STU-00002,SC/ST Post-Matric,45000.0,1,2022-2023,2022-10-08,disbursed,RTGS,SCH717889
sch-000009,college-aits-001,STU-00002,SC/ST Post-Matric,45000.0,2,2022-2023,2023-04-26,disbursed,NEFT,SCH895667
sch-000010,college-aits-001,STU-00002,SC/ST Post-Matric,45000.0,3,2023-2024,2023-09-23,disbursed,RTGS,SCH456778
sch-000011,college-aits-001,STU-00002,SC/ST Post-Matric,45000.0,4,2023-2024,2024-04-05,disbursed,NEFT,SCH900581
sch-000012,college-aits-001,STU-00002,SC/ST Post-Matric,45000.0,5,2024-2025,2024-10-04,disbursed,NEFT,SCH498382
sch-000013,college-aits-001,STU-00002,SC/ST Post-Matric,45000.0,6,2024-2025,2025-03-12,disbursed,RTGS,SCH733052
sch-000014,college-aits-001,STU-00002,SC/ST Post-Matric,45000.0,7,2025-2026,,pending,RTGS,
sch-000015,college-aits-001,STU-00004,Merit,10000.0,1,2022-2023,2022-11-04,disbursed,RTGS,SCH182627
sch-000016,college-aits-001,STU-00004,Merit,10000.0,2,2022-2023,2023-05-10,disbursed,Direct Benefit Transfer,SCH748564
sch-000017,college-aits-001,STU-00004,Merit,10000.0,3,2023-2024,2023-10-19,disbursed,NEFT,SCH838797
sch-000018,college-aits-001,STU-00004,Merit,10000.0,4,2023-2024,2024-03-02,disbursed,Direct Benefit Transfer,SCH338968
sch-000019,college-aits-001,STU-00004,Merit,10000.0,5,2024-2025,2024-10-03,disbursed,NEFT,SCH205907
sch-000020,college-aits-001,STU-00004,Merit,10000.0,6,2024-2025,2025-04-09,disbursed,RTGS,SCH766563
sch-000021,college-aits-001,STU-00004,Merit,10000.0,7,2025-2026,2025-10-06,disbursed,NEFT,SCH802729
sch-000022,college-aits-001,STU-00006,SC/ST Post-Matric,45000.0,1,2022-2023,2022-10-23,disbursed,Direct Benefit Transfer,SCH779514
